"","Voyage","Deployment","Acc","Taxa","CAAB","weight_g","Count","sub","comment","Storage_temp","Preservative","Container name","ACat","Taxa_Groups","Message ID","Latitude","Longitude","Site","Net_Name","Depth_Stratum","daylight","date_start","lat_decdeg_start","DateR_start","long_decdeg_start","lat_decdeg_stop","long_decdeg_stop","Site_stop","date_stop","DateR_stop","towtime","Speed_mpm","distance_m","VolumeFiltered_m3"
"44","in2020_v08",52,19,"Gymnoscopelus spp.",37122909,0.5,1,"<","1","-20 degC",NA,"Plastic Bag","Fish","Fish",816,"57  52.98 S","141  35.01 E","55S","RMT16","Targeted_850to750","Day",2021-01-09 01:36:00,-56.117,"9/01/2021 1:36",-140.4165,-56.117,-140.437333333333,"58S",2021-01-09 02:16:00,"9/01/2021 2:16",40,30.867284,1234.69136,19755.06176
"45","in2020_v08",12,1,"Electrona spp.",37122901,8,3,NA,NA,"-20 degC",NA,"Plastic bucket","Fish_GB","Fish_GB",256,"47  04.77 S","141  21.82 E","SOTS","RMT16","Meso","Night",2020-12-14 14:23:00,-46.9205,"14/12/2020 14:23",-140.636333333333,-46.9323333333333,-140.644166666667,"SOTS",2020-12-14 15:03:00,"14/12/2020 15:03",40,30.867284,1234.69136,19755.06176
"46","in2020_v08",12,8,"Electrona spp.",37122901,1,2,NA,NA,"-20 degC",NA,"Plastic Bag","Fish_GB","Fish_GB",256,"47  04.77 S","141  21.82 E","SOTS","RMT16","Meso","Night",2020-12-14 14:23:00,-46.9205,"14/12/2020 14:23",-140.636333333333,-46.9323333333333,-140.644166666667,"SOTS",2020-12-14 15:03:00,"14/12/2020 15:03",40,30.867284,1234.69136,19755.06176
"47","in2020_v08",26,5,"Electrona spp.",37122901,3,1,NA,NA,"-20 degC",NA,"Plastic bucket","Fish_GB","Fish_GB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","in2020_v08",30,9,"Electrona spp.",37122901,17,14,NA,NA,"-20 degC",NA,"Plastic Bag","Fish_GB","Fish_GB",572,"55  50.16 S","138  45.8 E","55S","RMT16","Lmeso","Day",2020-12-27 02:28:00,-54.164,"27/12/2020 2:28",-137.236666666667,-54.1838333333333,-137.337,"55S",2020-12-27 03:08:00,"27/12/2020 3:08",40,30.867284,1234.69136,19755.06176
"49","in2020_v08",25,20,"Krefftichthys anderssoni",37122754,3,3,NA,NA,"-20 degC",NA,"Plastic Bag","Fish_GB","Fish_GB",466,"55  47.21 S","138  51.64 E","55S","RMT16","Meso","Night",2020-12-24 17:00:00,-54.2131666666667,"24/12/2020 17:00",-137.139333333333,-54.2136666666667,-137.138666666667,"55S",2020-12-24 17:40:00,"24/12/2020 17:40",40,30.867284,1234.69136,19755.06176
"50","in2020_v08",27,27,"Krefftichthys anderssoni",37122754,13,6,NA,NA,"-20 degC",NA,NA,"Fish_GB","Fish_GB",468,"55  50.75 S","138  59.51 E","55S","RMT16","Epi","Night",2020-12-25 13:23:00,-54.1541666666667,"25/12/2020 13:23",-137.008166666667,-54.1561666666667,-137.032166666667,"55S",2020-12-25 14:03:00,"25/12/2020 14:03",40,30.867284,1234.69136,19755.06176
"51","in2020_v08",28,16,"Krefftichthys anderssoni",37122754,4,2,NA,NA,"-20 degC",NA,NA,"Fish_GB","Fish_GB",470,"55  49.52 S","138  55.39 E","55S","RMT16","Lmeso","Day",2020-12-26 05:28:00,-54.1746666666667,"26/12/2020 5:28",-137.076833333333,-54.211,-137.1255,"55S",2020-12-26 07:28:00,"26/12/2020 7:28",120,30.867284,3704.07408,59265.18528
"52","in2020_v08",29,12,"Krefftichthys anderssoni",37122754,8,3,NA,NA,"-20 degC",NA,"Plastic Bag","Fish_GB","Fish_GB",523,"55  47.02 S","138  34.82 E","55S","RMT16","Lmeso","Night",2020-12-26 15:44:00,-54.2163333333333,"26/12/2020 15:44",-137.419666666667,-54.2151666666667,-137.103166666667,"55S",2020-12-26 17:44:00,"26/12/2020 17:44",120,30.867284,3704.07408,59265.18528
"53","in2020_v08",30,7,"Krefftichthys anderssoni",37122754,9,5,NA,NA,"-20 degC",NA,"Plastic Bag","Fish_GB","Fish_GB",572,"55  50.16 S","138  45.8 E","55S","RMT16","Lmeso","Day",2020-12-27 02:28:00,-54.164,"27/12/2020 2:28",-137.236666666667,-54.1838333333333,-137.337,"55S",2020-12-27 03:08:00,"27/12/2020 3:08",40,30.867284,1234.69136,19755.06176
