"","Voyage","Deployment","Acc","Taxa","CAAB","weight_g","Count","sub","comment","Storage_temp","Preservative","Container name","ACat","Taxa_Groups"
"160","in2020_v08",21,41,"Argyropelecus spp.",37107902,0.5,1,NA,NA,"Ambient","Formaldehyde","McCarthy Vial","Fish","Fish"
"161","in2020_v08",1,3,"Argyropelecus hemigymnus",37107006,0.5,1,NA,NA,"-20 degC",NA,NA,"Fish","Fish"
"162","in2020_v08",3,1,"Argyropelecus hemigymnus",37107006,5,5,NA,NA,"-20 degC",NA,"McCarthy Vial","Fish","Fish"
"163","in2020_v08",5,3,"Argyropelecus hemigymnus",37107006,0.5,1,"<","1","-20 degC",NA,"Plastic Bag","Fish","Fish"
"164","in2020_v08",7,50,"Argyropelecus hemigymnus",37107006,0.5,1,NA,NA,"-20 degC",NA,"Plastic Bag","Fish","Fish"
"165","in2020_v08",10,3,"Argyropelecus hemigymnus",37107006,1,2,NA,NA,"-20 degC",NA,"Plastic Bag","Fish","Fish"
"166","in2020_v08",11,2,"Argyropelecus hemigymnus",37107006,2,1,NA,NA,"-20 degC",NA,"Plastic Bag","Fish","Fish"
"167","in2020_v08",12,5,"Argyropelecus hemigymnus",37107006,2,12,NA,NA,"-20 degC",NA,"Plastic Bag","Fish","Fish"
"168","in2020_v08",13,3,"Argyropelecus hemigymnus",37107006,0.5,1,"weight","less",NA,"Ethanol 70%","Plastic Bag","Fish","Fish"
"169","in2020_v08",16,5,"Argyropelecus hemigymnus",37107006,5,10,NA,NA,"-20 degC",NA,"Plastic Bag","Fish","Fish"
"170","in2020_v08",17,18,"Argyropelecus hemigymnus",37107006,1,2,NA,NA,"-20 degC",NA,"Plastic Bag","Fish","Fish"
"171","in2020_v08",18,9,"Argyropelecus hemigymnus",37107006,2,7,NA,NA,"-20 degC",NA,"Plastic Bag","Fish","Fish"
"172","in2020_v08",19,6,"Argyropelecus hemigymnus",37107006,1,2,NA,NA,"-20 degC",NA,"Plastic Bag","Fish","Fish"
"173","in2020_v08",21,5,"Argyropelecus hemigymnus",37107006,2,1,NA,NA,"-20 degC",NA,"Plastic Bag","Fish","Fish"
"174","in2020_v08",22,65,"Argyropelecus hemigymnus",37107006,0.5,4,"weight",NA,"-20 degC",NA,"Plastic Bag","Fish","Fish"
"175","in2020_v08",1,1,"Argyropelecus gigas",37107005,2,2,NA,NA,"-20 degC",NA,NA,"Fish","Fish"
"176","in2020_v08",7,51,"Argyropelecus gigas",37107005,0.5,8,NA,NA,"-20 degC",NA,"Plastic Bag","Fish","Fish"
"177","in2020_v08",13,2,"Argyropelecus gigas",37107005,2,3,NA,NA,"-20 degC",NA,"Plastic Bag","Fish","Fish"
"178","in2020_v08",14,33,"Argyropelecus gigas",37107005,1,1,NA,NA,"-20 degC",NA,"Plastic Bag","Fish","Fish"
"179","in2020_v08",22,23,"Argyropelecus gigas",37107005,36,1,NA,NA,"-20 degC",NA,"Plastic Bag","Fish","Fish"
"180","in2020_v08",13,4,"Sternoptychidae - undifferentiated",37107000,0.5,2,"weight","less",NA,"Ethanol 70%","McCarthy Vial","Fish","Fish"
"181","in2020_v08",18,20,"Phosichthyidae - undifferentiated",37106913,2,1,NA,NA,"-20 degC",NA,"Plastic Bag","Fish","Fish"
"182","in2020_v08",7,54,"Gonostomatidae - undifferentiated",37106912,1,3,NA,NA,"-20 degC",NA,"Plastic Bag","Fish","Fish"
"183","in2020_v08",6,2,"Cyclothone spp.",37106902,4,29,NA,NA,"-20 degC",NA,"Plastic Bag","Fish","Fish"
"184","in2020_v08",6,27,"Cyclothone spp.",37106902,0.5,2,"subsample,","gut","-20 degC",NA,NA,"Fish","Fish"
"185","in2020_v08",7,5,"Cyclothone spp.",37106902,97,77,"77","measured","-20 degC",NA,"Plastic Bag","Fish","Fish"
"186","in2020_v08",8,1,"Cyclothone spp.",37106902,1,23,NA,NA,"-20 degC",NA,NA,"Fish","Fish"
"187","in2020_v08",13,1,"Cyclothone spp.",37106902,10,40,NA,NA,"-20 degC",NA,"Plastic Bag","Fish","Fish"
"188","in2020_v08",14,27,"Cyclothone spp.",37106902,50,250,"kept","a","-20 degC",NA,"Plastic Bag","Fish","Fish"
"189","in2020_v08",22,20,"Cyclothone spp.",37106902,82,75,"counted","and","-20 degC",NA,"Plastic Bag","Fish","Fish"
"190","in2020_v08",23,17,"Cyclothone spp.",37106902,1,17,NA,NA,"-20 degC",NA,"Plastic Bag","Fish","Fish"
"191","in2020_v08",29,11,"Cyclothone spp.",37106902,18,44,NA,NA,"-20 degC",NA,"Plastic Bag","Fish","Fish"
"192","in2020_v08",1,4,"Cyclothone sp.",37106501,0.5,35,NA,NA,"-20 degC",NA,NA,"Fish","Fish"
"193","in2020_v08",2,2,"Cyclothone sp.",37106501,0.5,3,NA,NA,"-20 degC",NA,NA,"Fish","Fish"
"194","in2020_v08",15,20,"Cyclothone sp.",37106501,1,20,NA,NA,"-20 degC",NA,"Plastic Bag","Fish","Fish"
"195","in2020_v08",16,10,"Cyclothone sp.",37106501,0.5,1,NA,NA,"-20 degC",NA,"Plastic Bag","Fish","Fish"
