SPCODE,Species_Name,ACat
23636910,Todarodes spp.,Ceph
37445003,Schedophilus huttoni,F
37020015,Etmopterus pusillus,FnGB
37109902,Echiostoma spp.,F
37232908,Gadomus spp.,F
37109029,Pachystomias microdon,F
37015901,Apristurus spp.,FnGB
28702055,Thysanopoda egregia,Crust
37122062,Lampadena speculigera,FGB
37122014,Electrona subaspera,FGB
37264005,Cyttus novaezealandiae,FGB
37122912,Lampadena spp.,FGB
11123002,Atolla wyvillei,Gel
37122754,Krefftichthys anderssoni,FGB
37122114,Gymnoscopelus fraseri,FGB
37076004,Labichthys yanoi,F
37122755,Protomyctophum bolini,FGB
37122750,Electrona antarctica,FGB
28702043,Euphausia triacantha,Crust
NA,Gigantocypris muelleri,Crust
37122909,Gymnoscopelus spp.,FGB
37122117,Protomyctophum tenisoni,FGB
37232054,Cynomacrurus piriei,F
NA,Calycopsis borchgrevinki,Gel
NA,Protomyctophum antarctica,FGB
37122113,Gymnoscopelus bolini,FGB
37122901,Electrona spp.,FGB
37125004,Scopelosaurus hamiltoni,FnGB
37122751,Gymnoscopelus braueri,FGB
37122116,Protomyctophum andriashevi,FGB
23632901,Bathyteuthis spp.,Ceph
23643010,Galiteuthis glacialis,Ceph
37131751,Benthalbella macropinna,F
NA,Nansenia antarctica,F
37439005,Paradiplospinus gracilis,F
37131750,Benthalbella elongata,F
35102000,Doliolidae - undifferentiated,Gel
28702044,Euphausia vallentini,Crust
37122110,Protomyctophum gemmatum,FGB
28594000,Caprellidae - undifferentiated,Crust
37231001,Melanostigma gelatinosum,F
23609908,Stoloteuthis spp.,Ceph
28418000,Gammaridae - undifferentiated,Crust
37307903,Paraliparis spp.,F
28770905,Heterocarpus spp.,Crust
37224009,Halargyreus johnsonii,FGB
37122753,Gymnoscopelus opisthopterus,FGB
37343903,Platyberyx spp.,F
37111901,Chauliodus spp.,FnGB
37122752,Gymnoscopelus nicholsi,FGB
37070001,Diastobranchus capensis,F
37229902,Echiodon spp.,F
37126750,Notolepis coatsi,F
37445000,Centrolophidae - undifferentiated,F
NA,Bathylagus tenuis,F
23651000,Cirroteuthidae - undifferentiated,Ceph
28713000,Benthesicymidae - undifferentiated,Crust
37224912,Melanonus spp.,FGB
37227003,"Lyconus sp. [in Paxton et al, 1989]",FGB
37106801,Cyclothone sp. A,FGB
37097903,Microstoma spp.,F
37109907,Pachystomias spp.,F
37122905,Ceratoscopelus spp.,FGB
37109801,Leptostomias sp. A,F
37232004,Lepidorhynchus denticulatus,FGB
37327900,Epigonus spp.,FGB
37022002,Echinorhinus cookei,FnGB
37279001,Centriscops humerosus,FGB
37369002,Oplegnathus woodwardi,F
23636906,Nototodarus spp.,Ceph
22021000,Amphinomidae - undifferentiated,Other
27232004,Centropages orsinii,Crust
37098008,Bathylagichthys problematicus,F
37097904,Nansenia spp.,F
23623006,Onykia robsoni,Ceph
35103913,Iasis spp.,Gel
11132004,Pelagia noctiluca,Gel
11089007,Rhopalonema velatum,Gel
37122109,Loweina interrupta,FGB
37099000,Opisthoproctidae - undifferentiated,F
23606901,Spirula spp.,Ceph
11100911,Agalmatidae - undifferentiated,Gel
37109009,Bathophilus ater,F
23643003,Helicocranchia pfefferi,Ceph
24402903,Diacria spp.,Other
NA,Paralepis,F
11086002,Halicreas minimum,Gel
11083901,Pegantha spp.,Gel
NA,Euaugaptilus,Crust
23622003,Octopoteuthis sicula,Ceph
11095003,Amphicaryon acaule,Gel
28735905,Notostomus spp.,Crust
28565001,Cystisoma pellucida,Crust
NA,Gaussia,Crust
24402901,Cavolinia spp.,Other
11095903,Amphicaryon spp.,Gel
37133001,Rondeletia loricata,F
37122029,Centrobranchus nigroocellatus,FGB
37232917,Malacocephalus spp.,F
37126001,Macroparalepis macrogeneion,FnGB
11095901,Praya spp.,Gel
24183000,Superfamily Pterotracheoidea - undifferentiated,Other
24402902,Diacavolinia spp.,Other
37109021,Flagellostomias boureei,F
23638901,Chiroteuthis spp.,Ceph
23636006,Nototodarus sloanii,Ceph
22042000,Alciopidae - undifferentiated,Other
NA,Hydromyles globulosa,Crust
NA,unident,Other
37126007,Lestidium atlanticum,FnGB
23637001,Thysanoteuthis rhombus,Ceph
24182005,Pterotrachea scutata,Other
11128000,Periphyllidae - undifferentiated,Gel
37109001,Bathophilus abarbatus,F
24182004,Pterotrachea coronata,Other
11089904,Pantachogon spp.,Gel
37107000,Sternoptychidae - undifferentiated,FGB
37343001,Neocaristius heemstrai,FnGB
37215004,Himantolophus stewarti,Gel
37106003,Gonostoma atlanticum,F
NA,Physonectae,Gel
24182000,Pterotracheidae - undifferentiated,Other
37139901,Gigantura spp.,F
11089909,Crossota spp.,Gel
37216903,Dolopichthys spp.,F
37114014,Alepocephalus australis,F
37073000,Derichthyidae - undifferentiated,F
NA,Roulenia maderensis,F
11095000,Prayidae - undifferentiated,Gel
24182901,Firoloida spp.,Other
37122027,Bolinichthys photothorax,FGB
37122093,Lampadena chavesi,FGB
37122054,Lobianchia gemellarii,FGB
37122070,Notoscopelus caudispinosus,FGB
37251006,Scopelogadus mizolepis,F
37107902,Argyropelecus spp.,FGB
37122032,Diaphus brachycephalus,FGB
37331000,Malacanthidae - undifferentiated,F
NA,Myctophum hygomii,FGB
11150000,Class Cubozoa - undifferentiated,Gel
NA,Taaningichthys minimus,FGB
37107013,Argyropelecus sladeni,FGB
37122100,Myctophum selenops,FGB
37108000,Astronesthidae - undifferentiated,FnGB
NA,Lampadena dea,FGB
37232929,Macrouridae - undifferentiated,F
37106906,Margrethia spp.,F
37449003,Tetragonurus atlanticus,FGB
37446000,Nomeidae - undifferentiated,F
NA,Ahliesaurus berryi,F
37122913,Lampanyctodes spp.,FGB
37122056,Myctophum nitidulum,FGB
37075000,Serrivomeridae - undifferentiated,FnGB
37122926,Taaningichthys spp.,F
