"","Voyage","Deployment","Acc","Taxa","CAAB","weight_g","Count","sub","comment","Storage_temp","Preservative","Container name","ACat","Taxa_Groups"
"83","in2020_v08",42,33,"Salpa fusiformis",35103014,45,10,NA,NA,"-20 degC",NA,"Plastic Bag","Tunicates","Gelatinous"
"84","in2020_v08",44,15,"Salpa fusiformis",35103014,125,65,NA,NA,"-20 degC",NA,"Plastic Bag","Tunicates","Gelatinous"
"85","in2020_v08",45,7,"Salpa fusiformis",35103014,30,10,NA,NA,"-20 degC",NA,"Plastic Bag","Tunicates","Gelatinous"
"86","in2020_v08",46,39,"Salpa fusiformis",35103014,80,23,NA,NA,"-20 degC",NA,"Plastic Bag","Tunicates","Gelatinous"
"87","in2020_v08",24,10,"Ritteriella amboinensis",35103012,27,11,"solitary","-","-20 degC",NA,"Plastic Bag","Tunicates","Gelatinous"
"88","in2020_v08",15,11,"Cyclosalpa bakeri",35103002,207,11,"gooey","salp","-20 degC",NA,"Plastic Bag","Tunicates","Gelatinous"
"89","in2020_v08",10,15,"Salpidae - undifferentiated",35103000,40,12,NA,NA,"-20 degC",NA,"Plastic Bag","Tunicates","Gelatinous"
"90","in2020_v08",11,10,"Salpidae - undifferentiated",35103000,150,33,"sp.","1","-20 degC",NA,"Plastic Bag","Tunicates","Gelatinous"
"91","in2020_v08",11,13,"Salpidae - undifferentiated",35103000,90,4,"sp.","3","-20 degC",NA,"Plastic Bag","Tunicates","Gelatinous"
"92","in2020_v08",2,1,"Pyrosoma atlanticum",35101001,23,1,NA,NA,"-20 degC",NA,NA,"Tunicates","Gelatinous"
"93","in2020_v08",3,14,"Pyrosoma atlanticum",35101001,4989,31,"subsample","of","-20 degC",NA,"Plastic Bag","Tunicates","Gelatinous"
"94","in2020_v08",4,2,"Pyrosoma atlanticum",35101001,491,3,NA,NA,"-20 degC",NA,"Plastic Bag","Tunicates","Gelatinous"
"95","in2020_v08",5,21,"Pyrosoma atlanticum",35101001,5419,13,NA,NA,"-20 degC",NA,"Plastic Bag","Tunicates","Gelatinous"
"96","in2020_v08",6,5,"Pyrosoma atlanticum",35101001,567,2,NA,NA,"-20 degC",NA,"Plastic Bag","Tunicates","Gelatinous"
"97","in2020_v08",10,1,"Pyrosoma atlanticum",35101001,3591,20,NA,NA,"-20 degC",NA,"Plastic Bag","Tunicates","Gelatinous"
"98","in2020_v08",26,27,"Pasiphaea spp.",28745901,1,1,NA,NA,"-20 degC",NA,"Plastic Bag","Prawn","Crustacean"
"99","in2020_v08",28,38,"Pasiphaea spp.",28745901,3,7,NA,NA,"-20 degC",NA,NA,"Prawn","Crustacean"
"100","in2020_v08",29,38,"Pasiphaea spp.",28745901,10,4,NA,NA,"-20 degC",NA,"Plastic Bag","Prawn","Crustacean"
"101","in2020_v08",29,73,"Pasiphaea spp.",28745901,0.5,8,"small","-","-20 degC",NA,"Plastic Bag","Prawn","Crustacean"
"102","in2020_v08",30,27,"Pasiphaea spp.",28745901,1,2,NA,NA,"-20 degC",NA,"Plastic Bag","Prawn","Crustacean"
"103","in2020_v08",35,62,"Pasiphaea spp.",28745901,4,6,NA,NA,"-20 degC",NA,NA,"Prawn","Crustacean"
"104","in2020_v08",36,25,"Pasiphaea spp.",28745901,4,3,NA,NA,"-20 degC",NA,NA,"Prawn","Crustacean"
"105","in2020_v08",36,33,"Pasiphaea spp.",28745901,1,4,NA,NA,"-20 degC",NA,NA,"Prawn","Crustacean"
"106","in2020_v08",40,15,"Pasiphaea spp.",28745901,4,4,NA,NA,"-20 degC",NA,NA,"Prawn","Crustacean"
"107","in2020_v08",41,46,"Pasiphaea spp.",28745901,1,5,NA,NA,"-20 degC",NA,"Plastic Bag","Prawn","Crustacean"
"108","in2020_v08",42,7,"Pasiphaea spp.",28745901,2,3,NA,NA,"-20 degC",NA,"Plastic Bag","Prawn","Crustacean"
"109","in2020_v08",46,12,"Pasiphaea spp.",28745901,1,3,NA,NA,"-20 degC",NA,"Plastic Bag","Prawn","Crustacean"
"110","in2020_v08",47,32,"Pasiphaea spp.",28745901,1,1,NA,NA,"-20 degC",NA,"Plastic Bag","Prawn","Crustacean"
"111","in2020_v08",52,1,"Pasiphaea spp.",28745901,1,2,NA,NA,"-20 degC",NA,"Plastic Bag","Prawn","Crustacean"
"112","in2020_v08",1,28,"Acanthephyra spp.",28735901,0.5,2,NA,NA,"-20 degC",NA,"Plastic Bag","Prawn","Crustacean"
"113","in2020_v08",7,24,"Acanthephyra spp.",28735901,5,9,NA,NA,"-20 degC",NA,"Plastic Bag","Prawn","Crustacean"
"114","in2020_v08",12,14,"Acanthephyra spp.",28735901,3,6,NA,NA,"-20 degC",NA,"Plastic Bag","Prawn","Crustacean"
"115","in2020_v08",18,13,"Acanthephyra spp.",28735901,1,2,NA,NA,"-20 degC",NA,"Plastic Bag","Prawn","Crustacean"
